Pozycja,Miasto,Państwo,Populacja,Data cenzusu
1,Londyn, Wlk. Brytania,"8,615,246",1 czerwca 2014
2,Berlin, Niemcy,"3,437,916",31 maja 2014
3,Madryt, Hiszpania,"3,165,235",1 stycznia 2014
4,Rzym, Włochy,"2,872,086",30 września 2014
5,Paryż, Francja,"2,273,305",1 stycznia 2013
6,Bukareszt, Rumunia,"1,883,425",20 października 2011
7,Wiedeń, Austria,"1,794,770",1 stycznia 2015
8,Hamburg, Niemcy,"1,746,342",30 grudnia 2013
9,Budapeszt, Węgry,"1,744,665",1 stycznia 2014
10,Warszawa, Polska,"1,729,119",31 marca 2014
11,Barcelona, Hiszpania,"1,602,386",1 stycznia 2014
12,Monachium,Niemcy,"1,407,836",31 grudnia 2013
13,Mediolan, Włochy,"1,332,516",30 września 2014
14,Sofia, Bułgaria,"1,291,895",14 grudnia 2014
15,Praga, Republika Czeska,"1,246,780",1 stycznia 2013
16,Bruksela, Belgia,"1,175,831",1 stycznia 2014
17,Birmingham, Wlk. Brytania,"1,092,330",30 czerwca 2013
18,Kolonia, Niemcy,"1,034,175",31 grudnia 2013
19,Neapol, Włochy,"989,845",30 września 2014
20,Sztokholm, Szwecja,"909,976",31 stycznia 2014
21,Turyn, Włochy,"898,095",30 września 2014
22,Marsylia, Francja,"852,516",31 grudnia 2012
23,Amsterdam, Holandia,"813,562",31 maja 2014
24,Zagrzeb, Chorwacja,"790,017",31 marca 2011
25,Walencja, Hiszpania,"786,424",1 stycznia 2014
26,Kraków, Polska,"760,700",31 marca 2014
27,Leeds, Wlk. Brytania,"757,655",30 czerwca 2012
28,Łódź, Polska,"709,757",31 marca 2014
29,Frankfurt, Niemcy,"701,350",31 grudnia 2013
30,Ryga, Łotwa,"701,185",1 stycznia 2014
31,Sewilla, Hiszpania,"696,676",1 stycznia 2014
32,Palermo, Włochy,"677,015",31 lipca 2014
33,Saragossa, Hiszpania,"666,058",1 stycznia 2014
34,Ateny, Grecja,"664,046",24 maja 2011
35,Wrocław, Polska,"632,432",31 marca 2014
37,Rotterdam, Holandia,"616,528",31 stycznia 2013
38,Helsinki, Finlandia,"605,523",28 lutego 2013
39,Stuttgart, Niemcy,"604,297",31 grudnia 2013
40,Glasgow, Wlk. Brytania,"596,550",31 grudnia 2013
41,Genua, Włochy,"594,774",31 lipca 2014
42,Düsseldorf, Niemcy,"593,682",31 grudnia 2012
42,Dortmund, Niemcy,"575,944",31 grudnia 2013
43,Essen, Niemcy,"569,884",31 grudnia 2013
44,Malaga, Hiszpania,"566,913",1 stycznia 2014
45,Kopenhaga, Dania,"559,440",1 stycznia 2013
46,Sheffield, Wlk. Brytania,"557,382",30 czerwca 2012
47,Lizbona, Portugalia,"547,631",1 stycznia 2011
48,Poznań, Polska,"547,161",31 marca 2014
49,Brema, Niemcy,"546,451",31 grudnia 2012
50,Wilno, Litwa,"537,152",1 stycznia 2013
51,Lipsk, Niemcy,"531,562",31 grudnia 2013
52,Drezno, Niemcy,"530,754",31 grudnia 2013
53,Göteborg, Szwecja,"528,014",31 marca 2013
54,Dublin, Irlandia,"527,612",10 kwietnia 2011
55,Bradford, Wlk. Brytania,"524,619",30 czerwca 2012
56,Hanower, Niemcy,"514,137",31 grudnia 2012
57,Haga, Holandia,"510,909",1 maja 2014
58,Manchester, Wlk. Brytania,"510,772",30 czerwca 2012
59,Antwerpia, Belgia,"510,610",1 stycznia 2014
60,Edynburg, Wlk. Brytania,"495,360",30 czerwca 2011
61,Norymberga, Niemcy,"495,121",31 grudnia 2012
62,Duisburg, Niemcy,"486,816",31 grudnia 2012
63,Lyon, Francja,"484,344",31 grudnia 2010
64,Liverpool, Wlk. Brytania,"469,690",30 czerwca 2012
65,Gdańsk, Polska,"460,354",30 czerwca 2012
66,Tuluza, Francja,"441,802",31 grudnia 2010
67,Murcia, Hiszpania,"441,354",1 stycznia 2012
68,Tallinn, Estonia,"434,810",1 lutego 2015
69,Bristol, Wlk. Brytania,"432,451",30 czerwca 2012
70,Bratysława, Słowacja,"417,389",31 grudnia 2013
71,Szczecin, Polska,"409,211",30 czerwca 2012
72,Palma de Mallorca, Hiszpania,"407,648",1 stycznia 2012
73,Bolonia, Włochy,"384,202",31 grudnia 2013
74,Las Palmas, Hiszpania,"382,296",1 stycznia 2012
75,Florencja, Włochy,"377,207",31 grudnia 2013
76,Brno, Republika Czeska,"378,327",1 stycznia 2013
77,Bydgoszcz, Polska,"362,286",30 czerwca 2012
78,Bochum, Niemcy,"362,213",31 grudnia 2012
79,Bilbao, Hiszpania,"351,629",1 stycznia 2012
80,Cardiff, Wlk. Brytania,"348,493",30 czerwca 2012
81,Lublin, Polska,"348,120",30 czerwca 2012
82,Nicea, Francja,"343,304",31 grudnia 2010
83,Wuppertal, Niemcy,"342,885",31 grudnia 2012
84,Płowdiw, Bułgaria,"341,041",31 grudnia 2013
85,Warna,Bułgaria,"335,819",31 grudnia 2013
86,Alicante, Hiszpania,"334,678",1 stycznia 2012
87,Leicester, Wlk. Brytania,"331,606",30 czerwca 2012
88,Utrecht, Holandia,"330,772",1 maja 2014
89,Córdoba, Hiszpania,"328,841",1 stycznia 2012
90,Bielefeld, Niemcy,"328,314",31 grudnia 2012
91,Wakefield, Wlk. Brytania,"327,627",30 czerwca 2012
92,Aarhus, Dania,"326,676",1 października 2014
93,Kluż-Napoka, Rumunia,"324,576",20 października 2011
94,Coventry, Wlk. Brytania,"323,132",30 czerwca 2012
95,Bari, Włochy,"322,751",31 grudnia 2013
96,Saloniki, Grecja,"322,240",24 maja 2011
97,Wirral, Wlk. Brytania,"320,229",30 czerwca 2012
98,Timișoara, Rumunia,"319,279",20 października 2011
99,Katania, Włochy,"315,576",31 grudnia 2013
100,Valladolid, Hiszpania,"311,501",1 stycznia 2012
101,Bonn, Niemcy,"309,869",31 grudnia 2012
102,Malmö, Szwecja,"309,105",31 marca 2013
103,Nottingham, Wlk. Brytania,"308,735",30 czerwca 2012
104,Katowice, Polska,"308,269",30 czerwca 2012
105,Kowno, Litwa,"306,888",1 stycznia 2013
